Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_2560_824_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326045,0.313596
GemmTunableOp_Half_TN,tn_512_824_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326046,0.1326
GemmTunableOp_Half_TN,tn_320_824_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326122,0.109801
GemmTunableOp_Half_TN,tn_2560_824_160_ld_160_160_2560,Gemm_Rocblas_-1086326071,0.0446535
GemmTunableOp_Half_NN,nn_1_824_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0170111
GemmTunableOp_Half_TN,tn_10240_824_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326268,2.03494
GemmTunableOp_Half_TN,tn_2560_824_2560_ld_2560_2560_2560,Default,0.516137
GemmTunableOp_Half_TN,tn_3584_824_2560_ld_2560_2560_3584,Default,0.7265
GemmTunableOp_Half_TN,tn_640_824_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326078,0.154918
GemmTunableOp_Half_TN,tn_320_824_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326140,0.409201
GemmTunableOp_Half_TN,tn_336_272_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326128,0.152532
GemmTunableOp_Half_TN,tn_10240_272_320_ld_320_320_10240,Gemm_Rocblas_-1086326044,0.105012
GemmTunableOp_Half_TN,tn_4096_272_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326277,0.360569
GemmTunableOp_Half_TN,tn_24_272_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326204,0.0244532
GemmTunableOp_Half_TN,tn_2560_272_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326044,0.131307
GemmTunableOp_Half_TN,tn_512_272_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326127,0.0666878
GemmTunableOp_Half_TN,tn_320_272_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326139,0.0543857
GemmTunableOp_Half_TN,tn_2560_272_160_ld_160_160_2560,Gemm_Rocblas_-1086326078,0.0276368
GemmTunableOp_Half_NN,nn_1_272_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0118358
GemmTunableOp_Half_TN,tn_10240_272_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326077,0.850823
GemmTunableOp_Half_TN,tn_2560_272_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326123,0.243818
GemmTunableOp_Half_TN,tn_3584_272_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326273,0.341484
GemmTunableOp_Half_TN,tn_640_272_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326140,0.0814988
GemmTunableOp_Half_TN,tn_320_272_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326128,0.146819
GemmTunableOp_Half_TN,tn_336_1152_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326084,0.458436
GemmTunableOp_Half_TN,tn_10240_1152_320_ld_320_320_10240,Gemm_Rocblas_-1086326295,0.293902
GemmTunableOp_Half_TN,tn_4096_1152_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326277,1.05542
GemmTunableOp_Half_TN,tn_24_1152_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0440895
GemmTunableOp_Half_TN,tn_2560_1152_1536_ld_1536_1536_2560,Default,0.382033
GemmTunableOp_Half_TN,tn_512_1152_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326046,0.13756
GemmTunableOp_Half_TN,tn_320_1152_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326128,0.137732
