Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_320_952_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326271,0.438907
GemmTunableOp_Half_TN,tn_336_1016_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326271,0.450451
GemmTunableOp_Half_TN,tn_10240_1016_320_ld_320_320_10240,Default,0.295158
GemmTunableOp_Half_TN,tn_4096_1016_2560_ld_2560_2560_4096,Default,0.956324
GemmTunableOp_Half_TN,tn_24_1016_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326391,0.0433802
GemmTunableOp_Half_TN,tn_2560_1016_1536_ld_1536_1536_2560,Default,0.334276
GemmTunableOp_Half_TN,tn_512_1016_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326287,0.153673
GemmTunableOp_Half_TN,tn_320_1016_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326274,0.12301
GemmTunableOp_Half_TN,tn_2560_1016_160_ld_160_160_2560,Default,0.0544908
GemmTunableOp_Half_NN,nn_1_1016_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0194703
GemmTunableOp_Half_TN,tn_10240_1016_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326236,2.22
GemmTunableOp_Half_TN,tn_2560_1016_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326466,0.651331
GemmTunableOp_Half_TN,tn_3584_1016_2560_ld_2560_2560_3584,Default,0.810864
GemmTunableOp_Half_TN,tn_640_1016_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326271,0.21432
GemmTunableOp_Half_TN,tn_320_1016_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326271,0.448836
GemmTunableOp_Half_TN,tn_336_1104_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326273,0.481638
GemmTunableOp_Half_TN,tn_10240_1104_320_ld_320_320_10240,Gemm_Rocblas_-1086326484,0.336603
GemmTunableOp_Half_TN,tn_4096_1104_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326466,1.08292
GemmTunableOp_Half_TN,tn_24_1104_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326328,0.043417
GemmTunableOp_Half_TN,tn_2560_1104_1536_ld_1536_1536_2560,Default,0.39395
GemmTunableOp_Half_TN,tn_512_1104_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326287,0.156155
GemmTunableOp_Half_TN,tn_320_1104_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326317,0.131323
GemmTunableOp_Half_TN,tn_2560_1104_160_ld_160_160_2560,Default,0.0525491
GemmTunableOp_Half_NN,nn_1_1104_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0195035
GemmTunableOp_Half_TN,tn_10240_1104_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326234,2.63653
GemmTunableOp_Half_TN,tn_2560_1104_2560_ld_2560_2560_2560,Default,0.726665
GemmTunableOp_Half_TN,tn_3584_1104_2560_ld_2560_2560_3584,Default,0.842664
GemmTunableOp_Half_TN,tn_640_1104_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326274,0.22767
GemmTunableOp_Half_TN,tn_320_1104_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326273,0.481287
GemmTunableOp_Half_TN,tn_336_1168_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326271,0.503154
GemmTunableOp_Half_TN,tn_10240_1168_320_ld_320_320_10240,Default,0.363605
GemmTunableOp_Half_TN,tn_4096_1168_2560_ld_2560_2560_4096,Default,1.13604
GemmTunableOp_Half_TN,tn_24_1168_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326328,0.0505115
GemmTunableOp_Half_TN,tn_2560_1168_1536_ld_1536_1536_2560,Default,0.408965
GemmTunableOp_Half_TN,tn_512_1168_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326322,0.194236
GemmTunableOp_Half_TN,tn_320_1168_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326481,0.142741
GemmTunableOp_Half_TN,tn_2560_1168_160_ld_160_160_2560,Default,0.0564504
GemmTunableOp_Half_NN,nn_1_1168_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0213447
GemmTunableOp_Half_TN,tn_10240_1168_2560_ld_2560_2560_10240,Default,2.82271
GemmTunableOp_Half_TN,tn_2560_1168_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326252,0.744634
GemmTunableOp_Half_TN,tn_3584_1168_2560_ld_2560_2560_3584,Default,0.996893
GemmTunableOp_Half_TN,tn_640_1168_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326462,0.240342
GemmTunableOp_Half_TN,tn_320_1168_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326271,0.501739
GemmTunableOp_Half_TN,tn_336_1240_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326251,0.542461
GemmTunableOp_Half_TN,tn_10240_1240_320_ld_320_320_10240,Gemm_Rocblas_-1086326484,0.374116
GemmTunableOp_Half_TN,tn_4096_1240_2560_ld_2560_2560_4096,Default,1.15018
GemmTunableOp_Half_TN,tn_24_1240_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326391,0.0504479
GemmTunableOp_Half_TN,tn_2560_1240_1536_ld_1536_1536_2560,Default,0.417896
